train\images\test1_sec0.jpg,1208,348,1309,415,car
train\images\test1_sec0.jpg,1187,288,1225,333,auto
train\images\test1_sec0.jpg,842,291,863,292,auto
train\images\test1_sec0.jpg,1532,284,1570,326,auto
train\images\test1_sec0.jpg,2058,631,2158,814,bike
train\images\test1_sec0.jpg,1646,392,1714,492,bike
train\images\test1_sec0.jpg,1278,280,1294,328,bike
train\images\test1_sec0.jpg,1546,323,1574,381,bike
train\images\test1_sec0.jpg,1502,288,1521,348,bike
train\images\test1_sec100.jpg,757,567,1099,804,car
train\images\test1_sec100.jpg,1503,601,1828,852,car
train\images\test1_sec100.jpg,133,1258,811,1516,car
train\images\test1_sec100.jpg,2116,576,2190,682,bike
train\images\test1_sec100.jpg,1643,388,1691,447,bike
train\images\test1_sec100.jpg,1153,310,1207,381,auto
train\images\test1_sec100.jpg,1270,321,1310,374,bike
train\images\test1_sec100.jpg,1518,277,1542,315,bike
train\images\test1_sec100.jpg,1460,261,1479,289,bike
train\images\test1_sec100.jpg,1494,266,1512,298,bike
train\images\test1_sec100.jpg,1297,273,1340,315,car
train\images\test1_sec100.jpg,1256,276,1285,317,bike
train\images\test1_sec1000.jpg,1962,632,2249,949,auto
train\images\test1_sec1000.jpg,796,436,940,574,auto
train\images\test1_sec1000.jpg,1110,364,1221,446,car
train\images\test1_sec1000.jpg,1204,305,1276,368,car
train\images\test1_sec1000.jpg,1074,321,1100,376,bike
train\images\test1_sec1000.jpg,1559,325,1587,387,bike
train\images\test1_sec1000.jpg,1612,326,1641,383,bike
train\images\test1_sec1000.jpg,1278,261,1329,333,minitruck
train\images\test1_sec1000.jpg,1440,261,1478,319,minitruck
train\images\test1_sec1000.jpg,1204,264,1237,299,auto
train\images\test1_sec1000.jpg,1243,275,1263,299,bike
train\images\test1_sec1000.jpg,1526,270,1539,306,bike
train\images\test1_sec1000.jpg,1499,277,1513,315,bike
train\images\test1_sec1000.jpg,1464,321,1548,442,minitruck
train\images\test1_sec1010.jpg,6,1126,577,1520,car
train\images\test1_sec1010.jpg,2051,1010,2689,1520,car
train\images\test1_sec1010.jpg,915,485,1129,659,car
train\images\test1_sec1010.jpg,1123,412,1251,501,car
train\images\test1_sec1010.jpg,1169,346,1245,408,car
train\images\test1_sec1010.jpg,1610,380,1704,504,auto
train\images\test1_sec1010.jpg,1775,421,1905,543,auto
train\images\test1_sec1010.jpg,831,466,894,616,bike
train\images\test1_sec1010.jpg,1516,366,1551,445,bike
train\images\test1_sec1010.jpg,1087,319,1107,372,bike
train\images\test1_sec1010.jpg,1282,279,1300,326,bike
train\images\test1_sec1010.jpg,1547,286,1569,325,bike
train\images\test1_sec1010.jpg,1315,281,1336,315,bike
train\images\test1_sec1010.jpg,1210,263,1254,313,minitruck
train\images\test1_sec1010.jpg,1168,306,1226,346,auto
train\images\test1_sec1010.jpg,1312,216,1335,253,minitruck
train\images\test1_sec1010.jpg,1079,307,1112,372,bike
train\images\test1_sec1010.jpg,2295,646,2404,863,bike
train\images\test1_sec1020.jpg,650,580,757,781,bike
train\images\test1_sec1020.jpg,1169,371,1260,450,car
train\images\test1_sec1020.jpg,1249,348,1312,411,car
train\images\test1_sec1020.jpg,1242,272,1294,332,car
train\images\test1_sec1020.jpg,1447,301,1500,355,car
train\images\test1_sec1020.jpg,1521,293,1546,327,auto
train\images\test1_sec1020.jpg,1551,332,1584,383,bike
train\images\test1_sec1020.jpg,1571,256,1612,295,car
train\images\test1_sec1020.jpg,1313,266,1344,298,car
train\images\test1_sec1020.jpg,1014,396,1065,493,bike
train\images\test1_sec1020.jpg,914,388,953,482,bike
train\images\test1_sec1020.jpg,1136,298,1162,344,bike
train\images\test1_sec1030.jpg,989,549,1208,723,car
train\images\test1_sec1030.jpg,1135,424,1265,523,car
train\images\test1_sec1030.jpg,1172,369,1251,418,car
train\images\test1_sec1030.jpg,1144,331,1161,404,car
train\images\test1_sec1030.jpg,2044,552,2127,705,bike
train\images\test1_sec1030.jpg,836,415,875,540,bike
train\images\test1_sec1030.jpg,1010,391,1049,513,bike
train\images\test1_sec1030.jpg,1071,293,1129,369,bike
train\images\test1_sec1030.jpg,1492,272,1538,324,bike
train\images\test1_sec1030.jpg,1559,269,1584,333,bike
train\images\test1_sec1030.jpg,1608,278,1620,327,bike
train\images\test1_sec1030.jpg,1220,250,1358,354,bus
train\images\test1_sec1030.jpg,186,1251,944,1518,car
train\images\test1_sec1030.jpg,625,761,1033,1085,car
train\images\test1_sec1030.jpg,514,567,774,761,auto
train\images\test1_sec1040.jpg,2439,918,2546,1223,bike
train\images\test1_sec1040.jpg,2647,1027,2683,1221,bike
train\images\test1_sec1040.jpg,2148,774,2278,1066,bike
train\images\test1_sec1040.jpg,1810,512,1902,710,bike
train\images\test1_sec1040.jpg,817,494,897,621,bike
train\images\test1_sec1040.jpg,1172,343,1227,444,bike
train\images\test1_sec1040.jpg,1293,309,1320,391,bike
train\images\test1_sec1040.jpg,1446,348,1500,444,car
train\images\test1_sec1040.jpg,1530,321,1626,407,car
train\images\test1_sec1040.jpg,1744,355,1790,430,bike
train\images\test1_sec1040.jpg,1458,290,1476,330,bike
train\images\test1_sec1040.jpg,1531,278,1554,316,bike
train\images\test1_sec1040.jpg,832,345,879,406,bike
train\images\test1_sec1040.jpg,897,290,929,369,auto
train\images\test1_sec1040.jpg,689,943,869,1351,bike
train\images\test1_sec1040.jpg,304,577,815,1085,minitruck
train\images\test1_sec1050.jpg,2364,977,2549,1321,bike
train\images\test1_sec1050.jpg,2396,694,2531,881,bike
train\images\test1_sec1050.jpg,1507,491,1557,637,bike
train\images\test1_sec1050.jpg,1756,622,1867,832,bike
train\images\test1_sec1050.jpg,2084,580,2159,756,bike
train\images\test1_sec1050.jpg,881,416,935,544,bike
train\images\test1_sec1050.jpg,1612,352,1646,435,bike
train\images\test1_sec1050.jpg,1552,327,1578,390,bike
train\images\test1_sec1050.jpg,1493,323,1518,379,bike
train\images\test1_sec1050.jpg,1208,282,1287,368,minitruck
train\images\test1_sec1050.jpg,1532,292,1545,337,auto
train\images\test1_sec1050.jpg,1606,299,1633,345,bike
train\images\test1_sec1050.jpg,1095,322,1127,386,bike
train\images\test1_sec1050.jpg,141,859,293,1150,bike
train\images\test1_sec1050.jpg,1311,282,1313,332,car
train\images\test1_sec1050.jpg,8,1160,844,1522,minitruck
train\images\test1_sec1060.jpg,2246,1041,2442,1494,bike
train\images\test1_sec1060.jpg,543,790,687,1102,bike
train\images\test1_sec1060.jpg,1781,574,1867,772,bike
train\images\test1_sec1060.jpg,1020,471,1074,594,bike
train\images\test1_sec1060.jpg,1300,365,1334,458,bike
train\images\test1_sec1060.jpg,1026,373,1093,455,bike
train\images\test1_sec1060.jpg,828,407,999,548,car
train\images\test1_sec1060.jpg,1181,343,1282,437,car
train\images\test1_sec1060.jpg,1491,348,1728,610,bus
train\images\test1_sec1060.jpg,1747,425,1831,555,auto
train\images\test1_sec1060.jpg,1145,300,1179,362,auto
train\images\test1_sec1060.jpg,1289,284,1334,316,car
train\images\test1_sec1060.jpg,1445,315,1473,351,car
train\images\test1_sec1060.jpg,1448,365,1480,438,car
train\images\test1_sec1080.jpg,1562,713,1913,1045,car
train\images\test1_sec1080.jpg,2004,1150,2588,1522,car
train\images\test1_sec1080.jpg,2631,1075,2688,1433,bike
train\images\test1_sec1080.jpg,1090,425,1127,546,bike
train\images\test1_sec1080.jpg,1448,383,1494,492,bike
train\images\test1_sec1080.jpg,1676,373,1712,466,bike
train\images\test1_sec1080.jpg,1564,315,1583,365,bike
train\images\test1_sec1080.jpg,786,390,910,515,auto
train\images\test1_sec1080.jpg,961,360,1061,487,auto
train\images\test1_sec1080.jpg,1189,275,1268,320,auto
train\images\test1_sec1080.jpg,1529,287,1552,325,auto
train\images\test1_sec1090.jpg,2250,792,2601,1202,auto
train\images\test1_sec1090.jpg,295,665,409,899,bike
train\images\test1_sec1090.jpg,1765,544,1867,701,bike
train\images\test1_sec1090.jpg,1143,333,1179,394,bike
train\images\test1_sec1090.jpg,1453,337,1485,417,bike
train\images\test1_sec1090.jpg,1616,323,1644,402,bike
train\images\test1_sec1090.jpg,1145,291,1163,329,bike
train\images\test1_sec1090.jpg,1093,238,1156,282,lorry
train\images\test1_sec1090.jpg,1493,297,1539,360,car
train\images\test1_sec1090.jpg,1676,419,1790,526,auto
train\images\test1_sec1090.jpg,1475,247,1503,292,auto
train\images\test1_sec1090.jpg,1196,261,1241,296,auto
train\images\test1_sec1090.jpg,1442,282,1465,316,car
train\images\test1_sec1090.jpg,1570,256,1612,302,car
train\images\test1_sec1090.jpg,892,358,944,449,bike
train\images\test1_sec110.jpg,2232,738,2387,984,bike
train\images\test1_sec110.jpg,1940,1257,2578,1515,car
train\images\test1_sec110.jpg,956,375,1000,460,bike
train\images\test1_sec110.jpg,1051,348,1087,440,bike
train\images\test1_sec110.jpg,1813,401,1868,506,bike
train\images\test1_sec110.jpg,1552,325,1602,397,bike
train\images\test1_sec110.jpg,1638,317,1695,370,bike
train\images\test1_sec110.jpg,1253,256,1304,292,car
train\images\test1_sec110.jpg,1308,254,1346,278,car
train\images\test1_sec110.jpg,2118,588,2206,691,bike
train\images\test1_sec1100.jpg,1938,562,2177,820,auto
train\images\test1_sec1100.jpg,1594,400,1665,485,bike
train\images\test1_sec1100.jpg,1049,343,1095,416,bike
train\images\test1_sec1100.jpg,1178,320,1251,383,car
train\images\test1_sec1100.jpg,1249,247,1346,351,bus
train\images\test1_sec1100.jpg,1429,307,1510,386,car
train\images\test1_sec1100.jpg,1563,320,1587,386,bike
train\images\test1_sec1100.jpg,1616,341,1660,384,bike
train\images\test1_sec1100.jpg,1526,313,1557,360,car
train\images\test1_sec1100.jpg,883,465,1015,638,bike
train\images\test1_sec1110.jpg,2257,905,2410,1215,bike
train\images\test1_sec1110.jpg,2248,734,2378,871,bike
train\images\test1_sec1110.jpg,1626,734,1747,1053,bike
train\images\test1_sec1110.jpg,1521,474,1589,640,bike
train\images\test1_sec1110.jpg,678,431,778,574,cycle
train\images\test1_sec1110.jpg,33,768,407,1151,auto
